wallet_address,timestamp,amount,token_pair
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,2025-08-13 17:34:47,31810.598402634358,CHEX/WETH
0x2e1dee213ba8d7af0934c49a23187babeaca8764,2025-08-13 17:34:47,0.007936,WETH/Block
0x0ed17014e67ac4a1975cdfc1222dd4541f64be39,2025-08-13 17:34:47,810.5923468945962,PEAS/DAI
0x0ed17014e67ac4a1975cdfc1222dd4541f64be39,2025-08-13 17:34:47,4163.7431374013395,DAI/WETH
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,2025-08-13 17:34:47,2107.7633600104473,DAI/WETH
0x75ab076a00d76478e5fcc21cfd95113802f06d23,2025-08-13 17:34:47,0.01076483916376238,WETH/Block
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:47,21300.394357305533,IN/WETH
0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,2025-08-13 17:34:47,0.18223404561761586,WETH/RPL
0x3a10dc1a145da500d5fba38b9ec49c8ff11a981f,2025-08-13 17:34:47,11423483.84677251,ETHX/WETH
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:35,0.08852059444700633,WETH/SOLX
0x83f81878bf60614266844a77a497c8cab01ab1bb,2025-08-13 17:34:35,52730.6,TRX/WETH
0xe592427a0aece92de3edee1f18e0157c05861564,2025-08-13 17:34:35,0.010983519542344819,aEthWETH/WETH
0x9c9a6973cc4573eaee986b7470097a8e932b9ec6,2025-08-13 17:34:35,10000.0,USDC/WETH
0x9c9a6973cc4573eaee986b7470097a8e932b9ec6,2025-08-13 17:34:35,1604.2227231133922,PEAS/DAI
0x9c9a6973cc4573eaee986b7470097a8e932b9ec6,2025-08-13 17:34:35,376.24466766161777,PEAS/WETH
0xf3fe03cd60d1f138ebc106ce9575475100ebfc9a,2025-08-13 17:34:35,0.010411210033280632,WETH/SPX
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:35,13851.0,TRX/WETH
0xd3f72b3e91c8124dfc1b4273e93594bb00c9be6f,2025-08-13 17:34:35,18980.508507,USDC/WETH
0xd3f72b3e91c8124dfc1b4273e93594bb00c9be6f,2025-08-13 17:34:35,1.9990409545975583,cbETH/WETH
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,2025-08-13 17:34:35,206.2532625613199,PROVE/WETH
0x2e1dee213ba8d7af0934c49a23187babeaca8764,2025-08-13 17:34:35,5988.275334,USDC/WETH
0x2e1dee213ba8d7af0934c49a23187babeaca8764,2025-08-13 17:34:35,707.592057,USDC/WETH
0x2905d7e4d048d29954f81b02171dd313f457a4a4,2025-08-13 17:34:35,0.1933425,WETH/USDT
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:35,7038.185492,USDC/SEI
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,2025-08-13 17:34:35,0.6328743258991625,WETH/Block
0x5ddf30555ee9545c8982626b7e3b6f70e5c2635f,2025-08-13 17:34:23,5003448.917873284,GEEKS/WETH
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-08-13 17:34:23,167347461.21124527,BONE/WETH
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:23,20000000.0,ETHX/WETH
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,2025-08-13 17:34:23,0.11872714,WBTC/WETH
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:23,69191.0,TRX/WETH
0xdf31a70a21a1931e02033dbba7deace6c45cfd0f,2025-08-13 17:34:23,49.669577,USDC/WETH
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:23,4364.6869470932,IN/WETH
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:23,2445.1149753972572,IN/WETH
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:23,20000000.0,ETHX/WETH
0x1f2f10d1c40777ae1da742455c65828ff36df387,2025-08-13 17:34:23,167434381.90897667,BONE/WETH
0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,2025-08-13 17:34:23,19199067.423636045,ETHX/WETH
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2025-08-13 17:34:23,20000000.0,ETHX/WETH
0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,2025-08-13 17:34:23,37954.782798,USDC/WETH
0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,2025-08-13 17:34:23,5.737499847614431,WETH/USDT
0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,2025-08-13 17:34:23,4.262499839890808,WETH/USDT
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,2025-08-13 17:34:23,8.536941968022262,GEC/WETH
0x6747bcaf9bd5a5f0758cbe08903490e45ddfacb5,2025-08-13 17:34:23,13326.35492271952,PLUME/USDC
